dev:    size   erasesize  name
mtd0: 00100000 00020000 "0:SBL1"
mtd1: 00100000 00020000 "0:SBL1_1"
mtd2: 00100000 00020000 "0:MIBIB"
mtd3: 00080000 00020000 "0:BOOTCONFIG"
mtd4: 00080000 00020000 "0:BOOTCONFIG1"
mtd5: 00200000 00020000 "0:QSEE"
mtd6: 00200000 00020000 "0:QSEE_1"
mtd7: 00080000 00020000 "0:DEVCFG"
mtd8: 00080000 00020000 "0:DEVCFG_1"
mtd9: 00080000 00020000 "0:TME"
mtd10: 00080000 00020000 "0:TME_1"
mtd11: 00080000 00020000 "0:CDT"
mtd12: 00080000 00020000 "0:CDT_1"
mtd13: 00080000 00020000 "0:APPSBLENV"
mtd14: 00100000 00020000 "0:APPSBL"
mtd15: 00100000 00020000 "0:APPSBL_1"
mtd16: 00080000 00020000 "0:TRAINING"
mtd17: 00200000 00020000 "0:ART"
mtd18: 00040000 00020000 "0:LICENSE"
mtd19: 02a00000 00020000 "rootfs"
mtd20: 02a00000 00020000 "rootfs_1"
mtd21: 00080000 00020000 "bdata"
mtd22: 00080000 00020000 "crash"
mtd23: 01ac0000 00020000 "overlay"
mtd24: 0032ef16 0001f000 "kernel"
mtd25: 018d3000 0001f000 "ubi_rootfs"
mtd26: 01702000 0001f000 "cfg"
